"","date_long","year","id_no","country","region","source","latitude","longitude","magnitude_body","magnitude_surface","depth","yield_lower","yield_upper","purpose","name","type"
"139",19570528,1957,57009,"USA","NTS","DOE",37,-116,0,0,-0.2,12,12,"WR","BOLTZMANN","TOWER"
"140",19570531,1957,57010,"UK","MALDEN IS","DOE",-4,-155,0,0,0,720,720,"WR","GRAPPLE:2","AIRDROP"
"141",19570602,1957,57011,"USA","NTS","DOE",37,-116,0,0,-0.1,0.14,0.14,"WR","FRANKLIN","TOWER"
"142",19570605,1957,57012,"USA","NTS","DOE",37,-116,0,0,-0.2,5e-04,5e-04,"WR","LASSEN","BALLOON"
"143",19570618,1957,57013,"USA","NTS","DOE",37,-116,0,0,-0.2,10,10,"WR","WILSON","BALLOON"
"144",19570619,1957,57014,"UK","MALDEN IS","DOE",-4,-155,0,0,0,200,200,"WR","GRAPPLE:3","AIRDROP"
"145",19570624,1957,57015,"USA","NTS","DOE",37,-116,0,0,-0.2,37,37,"WR","PRISCILLA","BALLOON"
"146",19570701,1957,57054,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","COULOMB-A","SURFACE"
"147",19570705,1957,57016,"USA","NTS","DOE",37,-116,0,0,-0.5,74,74,"WR","HOOD","BALLOON"
"148",19570715,1957,57017,"USA","NTS","DOE",37,-116,0,0,-0.2,17,17,"WR","DIABLO","TOWER"
"149",19570719,1957,57018,"USA","NTS","DOE",37,-116,0,0,-6.8,2,2,"WE","JOHN","ROCKET"
"150",19570724,1957,57019,"USA","NTS","DOE",37,-116,0,0,-0.2,10,10,"WR","KEPLER","TOWER"
"151",19570725,1957,57020,"USA","NTS","DOE",37,-116,0,0,-0.2,9.7,9.7,"WR","OWENS","BALLOON"
"152",19570726,1957,57021,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","PASCAL-A","SHAFT"
"153",19570807,1957,57022,"USA","NTS","DOE",37,-116,0,0,-0.5,19,19,"WR","STOKES","BALLOON"
"154",19570810,1957,57055,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","SATURN","TUNNEL"
"155",19570818,1957,57023,"USA","NTS","DOE",37,-116,0,0,-0.2,17,17,"WR","SHASTA","TOWER"
"156",19570822,1957,57024,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,520,520,"WR",NA,"ATMOSPH"
"157",19570823,1957,57025,"USA","NTS","DOE",37,-116,0,0,-0.5,11,11,"WR","DOPPLER","BALLOON"
"158",19570826,1957,57026,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0.1,0.1,"SE",NA,"ATMOSPH"
